MSOA code,MSOA name,Distance,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021
E02001827,Birmingham 001,13.43,233500,219000,213000,230000,375000,385000,378000,367500
E02001828,Birmingham 002,12.87,233500,220000,215000,215000,396000,395000,383500,381000
E02001829,Birmingham 003,13.1,236000,240000,221000,217150,392500,400000,384000,390000
E02001830,Birmingham 004,10.33,312500,350000,295000,280000,500000,500000,486250,475000
E02001831,Birmingham 005,11.28,169975,170000,160000,162000,248700,257000,255000,252750
E02001832,Birmingham 006,9.926,220000,220000,221500,219000,345000,351750,350000,345000
E02001833,Birmingham 007,8.601,180000,188000,187000,178750,300000,315000,315000,315000
E02001834,Birmingham 008,8.256,101000,99950,99975,105000,160000,160000,166000,173500
E02001835,Birmingham 009,9.258,195000,207000,195000,186250,296500,305000,300000,306000
E02001836,Birmingham 010,7.744,219950,209250,208500,202000,346000,357000,350000,350000
E02001837,Birmingham 011,7.254,85750,85000,82250,83750,149500,149000,150000,158250
E02001838,Birmingham 012,10.8,198000,198000,201500,192000,284750,292500,305000,305000
E02001839,Birmingham 013,7.286,111250,110000,113250,114500,164575,170000,171000,175500
E02001840,Birmingham 014,6.764,117750,111000,113000,110000,155000,160000,161000,165000
E02001841,Birmingham 015,7.981,280000,284500,277000,250000,445000,453000,450000,460000
E02001842,Birmingham 016,7.063,124995,122000,122000,120750,180000,183250,185000,192750
E02001843,Birmingham 017,6.533,112618,110000,106500,103500,165000,168500,171000,177000
E02001844,Birmingham 018,7.171,159450,168000,170000,171000,246000,267500,262000,250000
E02001845,Birmingham 019,6.366,115000,115000,115000,112000,170500,170500,180000,180000
E02001846,Birmingham 020,6.065,100000,100000,100000,100000,155000,156250,165000,165500
E02001847,Birmingham 021,9.283,162500,165000,167750,175000,280000,285000,285000,286250
E02001848,Birmingham 022,5.36,90000,90000,92500,88000,153250,162500,165000,168000
E02001849,Birmingham 023,6.198,107000,104500,95000,95000,170000,175000,177000,190000
E02001850,Birmingham 024,5.455,133000,128000,128000,127750,181500,182250,183000,188000
E02001851,Birmingham 025,7.021,140000,140000,136000,136000,207500,205500,213995,215000
E02001852,Birmingham 026,5.131,113000,110000,114000,110500,161475,164000,168000,175000
E02001854,Birmingham 028,5.723,101500,115000,112000,125000,202500,209000,206000,200000
E02001855,Birmingham 029,7.586,96500,98000,98000,90000,151000,153500,155625,156000
E02001856,Birmingham 030,4.077,110500,115000,108000,104000,139975,140750,152250,147100
E02001857,Birmingham 031,4.487,110856,112000,105000,105000,147000,150000,150000,167000
E02001858,Birmingham 032,4.407,124750,106500,105000,135000,145000,175000,151000,165750
E02001859,Birmingham 033,4.339,122000,128055,124500,118000,182000,211000,180000,147500
E02001860,Birmingham 034,5.102,100000,97000,98000,93500,130000,138500,146000,156125
E02001861,Birmingham 035,3.706,103000,110000,110000,115000,239995,239995,228498,220000
E02001862,Birmingham 036,5.613,105500,98000,99750,84013,155000,155000,155000,155000
E02001863,Birmingham 037,2.8,100000,97000,83250,80000,125000,140000,140000,136500
E02001864,Birmingham 038,6.06,89000,93500,94500,95000,140000,150000,150000,159500
E02001865,Birmingham 039,4.048,100000,99725,100000,97000,131000,143500,155000,155000
E02001866,Birmingham 040,3.065,117000,110000,103500,92500,159000,161500,161500,170000
E02001867,Birmingham 041,2.346,110000,111500,110000,106000,150000,148000,150000,148000
E02001868,Birmingham 042,5.421,156000,166000,172500,154000,225000,250000,265000,250000
E02001869,Birmingham 043,2.431,66500,87500,82500,73000,142500,145000,158000,160000
E02001870,Birmingham 044,4.431,110000,104500,103500,100000,160000,160000,163500,163500
E02001871,Birmingham 045,6.755,105000,105000,106000,110000,165000,165000,168500,175000
E02001872,Birmingham 046,7.807,100000,99750,100000,100000,169000,170000,170000,175000
E02001873,Birmingham 047,3.318,90000,89950,82000,80000,114500,120000,123500,125500
E02001874,Birmingham 048,3.334,100000,96000,95500,95000,130500,135000,138500,138000
E02001875,Birmingham 049,2.243,112000,105475,108000,108000,200000,200000,175000,172500
E02001876,Birmingham 050,0.879,77000,111250,120000,122000,215000,225000,222293,223500
